# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=email-specimen, version=0.2, since=2026-08-30T11:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
email-specimen@0.2	factored	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	13595834.2	36.771753	excluded	1.007975	1.000000	gave-up	gave-up
email-specimen@0.2	factored	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1827818.2	1.001874	1.000000	excluded	excluded	excluded	excluded
email-specimen@0.2	factored	match-compliance	whole-subject	pcrec_96e44c2_auto-nocaps-simdna	73301.0	excluded	excluded	1.001123	1.000000	gave-up	6.305329
email-specimen@0.2	factored	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	3527.2	39.107947	4.331201	1.039725	1.000000	15.283366	15.329441
email-specimen@0.2	floor	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	713176.7	5.169351	2.826424	1.000000	1.000432	22.890698	22.956423
email-specimen@0.2	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2579.4	1.000346	1.000000	excluded	excluded	excluded	excluded
email-specimen@0.2	floor	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	685.4	excluded	excluded	1.216907	1.212987	1.000000	1.141755
email-specimen@0.2	floor	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	1327.8	5.619993	2.811898	1.000000	1.001460	1.821598	1.836408
email-specimen@0.2	orig	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	13607713.5	9.022342	1.339897	1.000000	1.001328	gave-up	gave-up
email-specimen@0.2	orig	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	533938.1	1.000000	1.000131	excluded	excluded	excluded	excluded
email-specimen@0.2	orig	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	62301.2	excluded	excluded	1.176099	1.175734	1.010927	1.000000
email-specimen@0.2	orig	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	3523.0	18.690116	1.744014	1.000000	1.000951	3.554421	3.640864
