# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-08-29T00:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (13 record(s) matching this query); records: 10; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 3; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_36d5963_auto-caps-simdna	pcrec_36d5963_auto-nocaps-simdna	pcrec_36d5963_vm-caps-simdna	pcrec_36d5963_vm-in-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11343444.7	5.102195	1.000000	1.148650	1.147454	3.033614	3.030319	1.147603	1.151910	3.036693	3.036295
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395648.4	5.689075	1.000000	1.072993	1.076179	3.243797	3.242649	1.073873	1.075543	3.246677	3.245668
loglines@0.1	floor	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	2912185.8	4.983874	2.476321	1.001202	1.001929	5.479451	5.533754	1.004300	1.000000	5.440738	5.486141
loglines@0.1	floor	short-subject-search	plain	pcrec_36d5963_auto-nocaps-simdna	2043.8	5.507629	2.469541	1.005564	1.000000	2.179994	2.213261	1.001566	1.006026	2.186530	2.206457
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	12986013.4	7.464961	1.183588	1.000333	1.001835	2.737624	2.761278	1.000000	1.002561	2.737279	2.714386
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_36d5963_auto-caps-simdna	430700.7	8.517062	1.138921	1.000000	1.001284	3.160894	3.162457	1.002641	1.000372	3.162221	3.162302
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_36d5963_auto-nocaps-simdna	252553.9	7.623232	12.737168	1.004726	1.000000	52.733005	52.432897	1.004529	1.003684	52.460829	52.461267
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	6988.3	8.159917	15.022934	1.038586	1.040246	72.051001	72.109547	1.000000	1.003674	72.040205	72.026501
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	6904983.5	28.942200	3.155822	1.000348	1.003034	11.248872	11.411606	1.000000	1.001562	11.289787	11.405842
loglines@0.1	ipv4	short-subject-search	plain	pcrec_36d5963_auto-nocaps-simdna	204301.1	38.176564	3.544943	1.000598	1.000000	14.562712	14.980756	1.002952	1.002648	14.633719	14.891503
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	10302797.9	21.224684	3.086608	1.000208	1.002289	11.066069	11.184539	1.000468	1.000000	11.018714	11.179401
loglines@0.1	ipv6	short-subject-search	plain	pcrec_36d5963_auto-nocaps-simdna	258267.4	32.076442	4.391228	1.000444	1.000000	16.905662	17.057934	1.002212	1.000280	16.938957	17.045345
loglines@0.1	iso-ts	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	961784.6	63.400467	1.000000	1.191012	1.191880	26.310547	26.342312	1.192328	1.193617	26.315614	26.379319
loglines@0.1	iso-ts	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	20481.7	116.580594	1.013324	1.011042	1.009463	47.961180	48.060924	1.000000	1.002312	48.079216	48.105118
loglines@0.1	kv-quoted	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	14051519.1	4.676770	1.070685	1.003269	1.006253	2.499031	2.498864	1.000000	1.003774	2.500646	2.498348
