# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-09-05T03:40:00Z, until=2026-09-05T04:00:00Z, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_auto-caps-simdna_noedge; source: store/index.tsv (2 record(s) matching this query); records: 2; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_noedge
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-caps-simdna_noedge
loglines@0.1	bignum	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	13184386.1	1.000305	1.000000
loglines@0.1	bignum	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	426832.7	1.008321	1.000000
loglines@0.1	floor	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	2904592.4	1.000000	1.001144
loglines@0.1	floor	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	2037.9	1.002998	1.000000
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	13071679.7	1.008002	1.000000
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	432713.3	1.003390	1.000000
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	251965.5	1.033013	1.000000
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	7032.6	1.025977	1.000000
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	6882753.6	1.000000	1.001568
loglines@0.1	ipv4	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	204687.5	1.000000	1.000519
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	10313542.1	1.025506	1.000000
loglines@0.1	ipv6	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	258164.4	1.026295	1.000000
loglines@0.1	iso-ts	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	1142674.3	1.065135	1.000000
loglines@0.1	iso-ts	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	20437.9	1.092082	1.000000
loglines@0.1	kv-quoted	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	14435127.4	1.016400	1.000000
loglines@0.1	kv-quoted	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	510791.4	1.000000	1.003071
loglines@0.1	level-context	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	11053013.5	1.000000	1.001171
loglines@0.1	level-context	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	334160.0	1.000000	1.001905
loglines@0.1	stack-frame	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	1844477.7	1.001307	1.000000
loglines@0.1	stack-frame	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	31752.5	1.000000	1.000923
loglines@0.1	uuid	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	1077059.1	1.000000	1.001494
loglines@0.1	uuid	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	21185.0	1.000000	1.001267
