# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	2898847.7	1165.853792	85.866784	1.000000	1.002889	701.234983	711.085629	25.725007
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	1.000000	1.000100	excluded	excluded	excluded	excluded	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1066.2	excluded	excluded	8.329124	8.320877	103.470173	103.415697	1.000000
altwide@0.2	ci-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	7370.8	2026.881165	152.630835	1.000000	1.001320	1314.136559	1335.664940	1.858977
altwide@0.2	ci-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	4110942.5	1635.013511	145.089096	1.000000	1.005782	refused	refused	125.654184
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	1.000999	1.000000	excluded	excluded	refused	refused	excluded
altwide@0.2	ci-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1199.5	excluded	excluded	12.500150	12.516792	refused	refused	1.000000
altwide@0.2	ci-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	13481.4	2197.399707	194.853835	1.000097	1.000000	refused	refused	1.368264
altwide@0.2	cnt-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2266095.0	252.068600	19.023640	1.539728	1.539849	5.950480	5.957185	1.000000
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	1.006761	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	404.0	excluded	excluded	24.242728	24.284934	1.000000	1.149323	2.383775
altwide@0.2	cnt-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10085.5	264.694040	19.978642	1.166708	1.168801	5.459920	5.430150	1.000000
altwide@0.2	floor	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	15373.4	1.009981	2.245108	1.000000	1.001411	35.298161	35.298423	1.016822
altwide@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2440.0	1.000000	1.012177	excluded	excluded	excluded	excluded	excluded
altwide@0.2	floor	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	227.0	excluded	excluded	1.876938	1.869969	1.048141	1.042144	1.000000
altwide@0.2	floor	short-subject-search	plain	pcrec_25b1984f_vm-caps-simdna	395.7	7.062042	4.267113	1.370192	1.383206	1.000000	1.090430	4.732015
altwide@0.2	nar4-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1766813.6	261.797868	22.208301	1.017292	1.020220	4.764313	4.771978	1.000000
altwide@0.2	nar4-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1876.0	1.002147	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	349.5	excluded	excluded	1.313318	1.310358	1.000000	1.035752	1.767516
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	4394.7	497.271963	42.546714	1.000000	1.005841	5.863091	6.184200	2.370761
altwide@0.2	nar4-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1903624.3	480.252544	48.526494	1.073059	1.071810	refused	refused	1.000000
altwide@0.2	nar4-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2403.4	1.000000	1.003625	excluded	excluded	refused	refused	excluded
altwide@0.2	nar4-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	618.5	excluded	excluded	9.377529	9.377279	refused	refused	1.000000
altwide@0.2	nar4-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	5831.5	745.162780	75.289334	1.000000	1.002615	refused	refused	1.784953
altwide@0.2	nar4-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	668193.6	183.608178	11.376013	2.860318	2.856764	12.078912	12.076865	1.000000
altwide@0.2	nar4-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1457.2	1.000000	1.008580	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	339.0	excluded	excluded	1.297046	1.301736	1.000000	1.103700	1.822790
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	4559.9	124.801852	8.236277	1.011544	1.000000	5.579685	5.627998	1.136961
altwide@0.2	pfx3-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	352675.9	391.024560	1.000000	1.030573	1.033175	8.716769	8.464975	2.000850
altwide@0.2	pfx3-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6453.1	1.005452	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	338.6	excluded	excluded	1.363477	1.363462	1.000000	1.068430	1.574465
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1220.8	463.473401	3.514037	1.000000	1.003113	11.711617	12.714331	3.154055
altwide@0.2	pfx3-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	364219.5	751.779634	2.237672	1.000000	1.004561	7.467054	7.463662	4.513185
altwide@0.2	pfx3-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11470.2	1.000000	1.019398	excluded	excluded	excluded	excluded	excluded
altwide@0.2	pfx3-512	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	326.5	excluded	excluded	4.952744	4.915420	1.000000	1.107573	1.631592
altwide@0.2	pfx3-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1225.1	927.565428	6.127873	1.000468	1.000000	12.234452	12.603062	8.399193
altwide@0.2	s-2048	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	4868289.3	3804.539599	542.397536	1.001773	1.000000	refused	refused	1.982587
altwide@0.2	s-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	403778.1	1.000000	1.000754	refused	refused	refused	refused	excluded
altwide@0.2	s-2048	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	542.4	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	s-2048	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10613.5	9083.056463	1255.637066	1.420509	1.420214	refused	refused	1.000000
altwide@0.2	s-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2157511.3	1092.477205	127.900525	1.335339	1.343990	7.442684	7.474222	1.000000
altwide@0.2	s-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	55821.1	1.000407	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	366.5	excluded	excluded	1.293615	1.282905	1.000000	1.038507	1.471920
altwide@0.2	s-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	8241.9	1482.566270	173.422593	1.000000	1.000100	6.404204	6.285021	1.281426
altwide@0.2	s-4096	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	8153400.1	4542.255221	2286.221173	refused	refused	refused	refused	1.000000
altwide@0.2	s-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	810287.3	1.000928	1.000000	refused	refused	refused	refused	excluded
altwide@0.2	s-4096	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	647.5	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	s-4096	short-subject-search	plain	rust_1.13.1_default-caps-simdna	25585.2	7276.935778	3874.033694	refused	refused	refused	refused	1.000000
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	3169279.0	1468.594876	187.813176	1.000000	1.002729	5.434970	5.435111	1.100989
altwide@0.2	s-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	106427.1	1.000000	1.000057	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	379.7	excluded	excluded	1.195229	1.195512	1.000000	1.004547	1.434375
altwide@0.2	s-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	8267.8	2923.761537	373.387177	1.000496	1.000000	7.469670	7.446605	1.280636
altwide@0.2	sfx-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2232376.4	1049.231349	107.523085	1.302788	1.306603	7.331402	7.319762	1.000000
altwide@0.2	sfx-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	8331.7	1.008259	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	362.0	excluded	excluded	1.264578	1.246954	1.000000	1.043906	1.496224
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	8222.2	1207.932539	127.533298	1.003649	1.000000	6.365306	6.464557	1.252068
altwide@0.2	sfx-512	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3173913.4	1467.864044	184.760569	1.004090	1.000000	refused	refused	1.095732
altwide@0.2	sfx-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15487.4	1.000000	1.006240	excluded	excluded	refused	refused	excluded
altwide@0.2	sfx-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	542.3	excluded	excluded	16.454317	16.468589	refused	refused	1.000000
altwide@0.2	sfx-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	8248.0	2385.035006	300.045123	1.000000	1.001183	refused	refused	1.267370
altwide@0.2	sfx-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	868547.5	703.796156	39.088542	3.602292	3.596187	15.876223	15.940828	1.000000
altwide@0.2	sfx-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2369.3	1.000000	1.006662	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	358.9	excluded	excluded	1.248223	1.239574	1.000000	1.117727	1.497663
altwide@0.2	sfx-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	5805.1	428.702023	29.313861	1.397455	1.395044	9.671729	9.744336	1.000000
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	498114.3	246.587278	19.017548	1.000862	1.000000	5.281354	5.303037	3.373289
altwide@0.2	sh1-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6280.9	1.012695	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	338.1	excluded	excluded	1.324109	1.325636	1.000000	1.066737	1.795982
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1489.6	462.116766	34.946983	1.000000	1.003658	9.529962	9.519214	6.907597
altwide@0.2	sh1-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	555001.4	440.289600	41.169699	1.000000	1.002599	refused	refused	3.106884
altwide@0.2	sh1-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11146.8	1.000000	1.005600	excluded	excluded	refused	refused	excluded
altwide@0.2	sh1-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	614.2	excluded	excluded	3.565451	3.573510	refused	refused	1.000000
altwide@0.2	sh1-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1507.5	895.957092	84.464889	1.000000	1.002472	refused	refused	6.830352
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	451806.9	72.338343	3.972639	1.000558	1.000000	5.958450	5.927705	1.746718
altwide@0.2	sh1-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2628.2	1.001501	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	338.3	excluded	excluded	1.262791	1.268039	1.000000	1.098756	1.788892
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1461.5	125.813725	7.385457	1.000000	1.002914	10.537399	10.494805	3.064047
altwide@0.2	srt-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2264533.1	1012.485130	108.351099	1.282039	1.289134	7.015079	7.024527	1.000000
